frequency,angle,chord_length,velocity,thickness,sound_pressure_level
1000.0,9.5,Afghanistan,31.7,77316400.0,131.346
4000.0,0.0,Afghanistan,55.5,0.00076193,134.946
630.0,,0.1016,55.5,0.002211,126.59899999999999
4000.0,8.9,0.1016,71.3,0.0103088,120.243
5000.0,0.0,0.3048,39.6,0.00310138,117.789
200.0,15.4,..0000,31.7,0.028985300000000002,119.975
10000.0,0.0,0.0508,39.6,0.000791822,125.99799999999999
315.0,?˕,0.2286,39.6,0.00473801,122.229
2500.0,8.4,0.0508,,0.00566229,127.465
,17.4,0.0254,31.7,0.017663099999999998,123.46600000000001
1000.0,0.0,0.0508,31.7,0.000812164,126.78
1000.0,15.4,0.0508,39.6,0.0282593,127.89299999999999
500.0,15.4,0.0508,39.6,0.0282593,125.963
630.0,9.5,0.0254,55.5,0.0043284,125.45200000000001
250.0,0.0,0.3048,31.7,0.00331266,118.595
1000.0,4.0,0.2286,31.7,0.00509068,129.869
500.0,0.0,0.2286,39.6,0.00253511,126.195
6÷30.0,3.0,0.3048,31.7,0.00529514,128.69799999999998
10000.0,3.3,ų̓ˣʊN,55.5,0.002211,115.65899999999999
2500.0,8.4,0.0508,31.7,0.00580776,125.57600000000001
2000.0,3.0,0.3048,55.5,0.00452492,123.069
1600.0,5.3,0.2286,39.6,0.00614329,123.081
Some college,15.4,0.0508,,0.0282593,128.423
1000.0,6.7,0.1016,55.5,0.0052139,137.233
2500.0,5.4,0.1524,71.3,0.00401199,127.59100000000001
1000.0,0,0.1016,55.5,0.00131983,129.8
500.0,0,0.1016,71.3,0.033779199999999995,140.158
630.0,4.8,0.0254,31.7,0.0009307889999999999,120.07799999999999
8000.0,0.0,0.1016,Afghanistan,0.00150092,120.193
400.0,4.0,0.2286,39.6,0.00473801,123.87899999999999
Β̽ϑU,,0.2286,55.5,0.00229336,119.54
400.0,9.9,0.1524,71É.3,0.019300099999999997,135.079
5000.0,17.4,˰̗̐äM,Afghanistan,0.016570599999999998,118.941
800.0,0.0,0.1016,71.3,0.00121072,126.805
1600.0,6.7,0.1016,39.6,0.00578076,127.375
6300.0,0.0,0.3048,55.5,0.00283081,117.976
500.0,8.4,0.0508,55.5,0.00544854,123.742
4000.0,0.0,0.1524,39.6,0.00193287,125.34299999999999
800.0,6.7,0.1Ħ016,39.6,00..7700,134.625
1000.0,77..,0.0254,31.7,0.017663099999999998,131.796
4000.0,4.8,Afghanistan,71.3,0.000848633,134.928
315.0,,0.3048,71.3,0.00497773,128.175
6300.0,12.7,0.0254,71.3,0.012180799999999999,125.398
315.0,'ΐÈ,0.1016,31.7,0.00592927,126.266
315.0,1.5,0.3048,,0.00392107,121.851
5000.0,2.7,0.1524,39.6,0.00294804,121.499
500.0,8.9,0.1016,39.6,0.012459600000000001,133.79
1000.0,0.0,0.0254,31.7,0.000439472,125.12700000000001
,0,0.3048,71.3,0.00266337,125.571
630.0,4.0,0.2286,39.6,0.00473801,129.579
1000.0,7.91,0.0508,71.3,0.034118300000000004,121.885
630.0,0.0,)îʂɩǇȲ,55.5,0.00229336,126.16
500.0,9.9,0.1524,31.7,0.0252785,127.179
315.0,15.6,0.1016,71.3,0.0437259,133.808
1000.0,9.9,0.1524,71.3,0.019300099999999997,126.34899999999999
500.0,0,0.1524,55.5,0.0208438,127.815
4000.0,8.4,0.0508,71.3,0.00529514,126.926
6300.0,3.3,0.1016,39.6,0.00245138,120.851
6300.0,12.3,0.1016,31.7,ƤȌθɓ˹,107.26700000000001
3150.0,0.0,0.1524,39.6,0.00193287,125.603
2000.0,6.7,0.1016,31.7,0.00592927,120.446
3150.0,3.0,0.3048,39.6,0.00495741,118.92200000000001
3150.0,5.4,0.1524,39.6,0.00485029,119.137
1250.0,0.0,0.1524,31.7,0.00209405,131.467
200.0,11.2,0.0508,71.3,0.014072,125.941
630.0,17.4,0.0254,31.7,0.017663099999999998,136.886
66..00,9.5,0.0254,55.5,0.0ǃ043284,124.22200000000001
1600.0,3.3,0.1016,71.3,0.00202822,133.664
3150ħ.0,0,0.3048,55.5,0.00452492,120.189
10000.0,0.0,0.152Ī4,55.5,0.00172668,119.25299999999999
5000.0,0.0,0.0508,31.7,0.000812164,133.23
500.0,0.0,0.1524,31.7,0.00209405,121.617
1000.0,0.0,0.3048,55.5,0.00283081,126.96600000000001
200.0,9.9,0.1524,,0.0208438,131.955
4000.0,7.3,0.2286,31.7,0.0132672,112.639
10000.0,12.7,Afghanistan,71.3,0.012180799999999999,114.41799999999999
400.0,4.0,0.2286,55.5,0.0042861999999999996,123.274
800.0,ʤď,0.0508,55.5,0.00076193,124.336
800.0,9.9,0.1524,31.7,0.0252785,125.539
Some college,0.0,0.1016,,0.00131983,121.93
2500.0,1.5,0.3048,39.6,0.00392107,120.98100000000001
2000.0,1.5,0.3048,39.6,	¶õȊͣǡϧ,122.101
2500.0,4.8,0.0254,39.6,0.000907475,131.236
2500.0,12.3,0.1016,3.17,0.033779199999999995,121.318
,8.4,0.0508,39.6,0.00566229,130.965
630.0,0.0,0.2286,39.6,0.00253511,128.705
630.0,5.3,0.2286,39.6,0.00614329,132.011
8000.0,17.4,,71.3,0.016104,115.46600000000001
1000.0,15.4,0.0508,55.5,001122,130.4
5000.0,8.9,0.1016,39.6,0.012459600000000001,113.08
16000.0,0.0,0.0254,39.6,0.00042846400000000004,124.986
1000.0,4.0,0.2286,71.3,0.00400603,131.708
800.0,0.0,0.2286,39.6,0.00253511,130.205
2500.0,2.0,0.2286,31.7,0.00372371,121.40700000000001
1600.0,2.7,0.1524,71.3,0.00243851,130.644
400.0,3.0,0.3048,71.3,0.00425727,127.564
630.0,8.4,0.0508,55.5,0.00544854,126.152
3150.0,8.4,0.0508,39.6,0.00566229,123.965
5000.0,3.3,0.1016,55.5,0.002211,124.839
6300.0,3.3,0.1016,71.3,0.0020282Ǯ2,124.904
1250.0,17.4,0.0254,Afghanistan,0.0172206,131.364
1000.0,00,0.2286,39.6,0.00253511,130.435
250.0,12.7,Afghanistan,39.6,0.013025299999999998,121.54700000000001
1600.0,0.0,0.2286,55.5,0.00229336,126.79
1600.0,..00,0.2286,É71.3,0.00293031,127.796
4000.0,17.4,0.0254,71.3,0.016104,125.586
250.0,0.0,0.3048,39.6,0.00310138,119.319
5000.0,1.5,0.3048,39.6,0.00392107,116.241
8000.0,0.0,0.0254,71.3,0.00040068199999999997,129.86700000000002
8000.0,3.3,0.1016,..,0.00202822,121.234
2000.0,12.3,0.1016,71.3,Í˃ͻȫϟȧ,122.21799999999999
630.0,4.0,0.2286,55.5,0.0042861999999999996,129.964
800.0,,0.3048,39.6,..0000774411,129.55200000000002
2000.0,12.7,0.0254,71.3,0.012180799999999999,134.22799999999998
250.0,,0.0254,31.7,0.017663099999999998,116.956
4000.0,0.0,0.1016,39.6,0.00146332,127.801
630.0,9.5,,71.3,0.00420654,125.726
1000.0,0.0,0.0508,71.3,0.000740478,129.45
800.0,4.8,0.0254,31.7,0.0009307889999999999,122.648
6300.0,8.9,0.1016,39.6,0.012459600000000001,113.11
10000.0,..,0.0254,71.3,0.000848633,127.398
2000.0,15.6,0.1016,39.6,,110.89399999999999
2500.0,5.3,0İ.2286,71.3,0.0051942,123.74
315.0,12.7,0.0254,39.6,0.013025299999999998,123.537
PɲkƤĶ̨,12.3,0.1016,71.3,0.033779199999999995,124.74799999999999
250.0,19.7,0.0508,71.3,0.034118300000000004,119.115
315.0,12.6,0.1524,71.3,0.0483159,128.484
5000.0,2.0,0.2286,Afghanistan,0.00372371,118.26700000000001
6300.0,1.5,0.3048,71.3,0.00336729,118.12200000000001
1250.0,0.0,0.2286,71.3,0.00214345,128.144
500.0,8.4,0.0508,31.7,ĿϞ̭Ȫ²/,122.96600000000001
5000.0,3.0,Nǵç_Τ\,39.6,0.00495741,115.792
1250.0,15.6,0.1016,39.6,0.0528487,118.214
'̣̰Ŝ\˒,0.0,0.0254,Afghanistan,0.000439472,132.89700000000002
1000.0,7.3,0.2286,55.5,0.011170600000000001,125.194
8000.0,0.0,8403.0,71.3,0.00266337,117.15100000000001
1250.0,8.4,0.0508,39.6,0.00566229,131.205
4000.0,,0.0508,39.6,0.000791822,135.308
315.0,22.2,0.0254,39.6,0.022902799999999997,120.71600000000001
1250.0,3.3,0.1016,71.3,0.00202822,132.304
3150.0,0.0,Afghanistan,31.7,0.00150092,129.97299999999998
500.0,6.7,0.1016,55.5,0.0052139,129.343
1600.0,5.4,0.1524,33..,0.00485029,126.26700000000001
1600.0,8.4,0.0508,71.3,0.00529514,133.846
800.0,3.3,0.1016,71.3,0.00202822,131.07399999999998
2500.0,12.3,0.1016,31.7,0.0418756,110.31700000000001
2000.0,6.7,0.1016,71.3,0.00478288,134.56799999999998
225500..00,9.5,0.0254,,0.00449821,131.234
2000.0,7.3,0.2286,31.7,0.0132672,115.309
5000.0,8Η̙,0.3048,55.5,0.00283081,119.60600000000001
2000.0,4.0,0.3048,39.6,00009966,120.963
315.0,7.3,0.2286,39.6,0.0123481,132.149
4000.0,44,0.0508,71.3,0.00142788,133.59799999999998
630.0,0.0,,55.5,0.00131983,126.17
2000.0,11.2,0.0508,,..000077999999999988,124.42
4000.0,17.4,0.0254,55.5,0.016570599999999998,121.771
8000.0,2.7,0.1524,71.3,0.00243851,120.53399999999999
630.0,15.4,0.0508,55.5,)ΜñƤŸ?,129.33
0.004,5.4,0.1524,55.5,0.00433288,126.807
2500.0,2.7,0.1524,71.3,ǁǐ̦Ƅƃ͇,128.334
1250.0,15.4,0.0508,55.5,0.0271925,130.0
1000.0,,0.1524,71.3,0.0483159,122.044
5000.0,2.0,0.2286,55.5,0.00313525,120.47200000000001
2000.0,17.4,0.0254,55.5,0.016570599999999998,125.26100000000001
Some college,17.4,0.0254,39.6,0.0172206,124.154
1250.0,,Afghanistan,71.3,0.000740478,128.56
Some college,7.3,0.2286,31.7,0.0132672,119.09899999999999
4000.0,4.0,0.2286,39.6,0.00473801,119.15899999999999
2500.0,8.4,0.0508,55.5,0.00544854,131.542
630.0,2.7,0.1524,71.3,0.00243851,127.404
5000.0,7.2,0.1524,71.3,0.00752039,118.34299999999999
400.0,2.0,0.2286,39.6,0.00346574,122.147
800.0,œŁ,0.3048,39.6,0.00310138,129.099
4000.0,0.0,0.3048,31.7,0.00331266,118.145
2Ġ000.0,0.0,0.1524,55.5,0.00172668,129.673
630.0,8.4,0.0508,31.7,0.00580776,125.85600000000001
0.0521,0.0,0.0508,39.6,ϏΕ°Æ3͇,129.148
315.0,9.5,0.0254,39.6,0.00449821,119.294
1000.0,2.0,2222,71.3,,128.95600000000002
8000.0,0.0,0.1524,39.6,0.00193287,120.553
3150.0,5.3,0.2286,3.17,0.0051942,123.12
800.0,9.5,Afghanistan,39.6,0.00449821,129.014
1600.0,0,0.3048,71.3,0.00497ȃ773,126.645
3150.0,0.0,0.3048,31.7,0.00331266,119.135
2000.0,3.3,0.1016,55.5,0.002211,133.649
500.0,0.2,0.2286,55.5,0.00313525,124.69200000000001
2000.0,12.6,0.1524,71.3,0.0483159,117.50399999999999
4000.0,5.4,0.1524,39.6,,117.137
6300.0,0.0,0.3048,31.7,0.00331266,113.775
1600.0,9.9,0.1524,55.5,0.0208438,119.875
200.0,12.6,ɑǸ̶̂¬,,0.058411300000000006,114.75
,15.4,ľ̅'ė΀,31.7,0.028985300000000002,108.185
1250.0,11.2,0.0508,71.3,0.014072,136.191
800.0,12.7,0.0254,39.6,0.013025299999999998,130.217
1000.0,22.2,0.0254,39.6,0.022902799999999997,128.416
5000.0,0.0,0.1016,11..77,ɷŋ ó±Ǘ,124.39299999999999
6300.0,3.0,0.3048,39.6,0.00495741,114.042
800.0,1.5,0.3048,71.3,0.00336729,127.12200000000001
1000.0,15.6,0.1016,71.3,0.0437259,124.43799999999999
500.0,12.3,0.1016,,0.0418756,118.667
1000.0,2.0,0.2286,39.6,0.00346574,129.14700000000002
3150.0,0.0,0.2286,31.7,0.0027238,123.445
5000.0,2.0,0.2286,39.6,0.00346574,118.82700000000001
6300.0,15.4,,71.3,0.0264269,115.215
2500.0,0.0,0.0508,71.3,0.000740478,131.31
3150.0,17.4,0.0254,55.5,0.016570599999999998,124.101
630.0,5.4,22,31.7,0.00525474,131.471
5000.0,2.0,0.2286,71.3,0.00293031,122.816
800.0,7.2,0.1524,39.6,0.00909175,132.358
4000.0,5.3,0.2286,39.6,0.00614329,115.801
6300.0,4.0,00..2222,39.6,0.00473801,114.249
5000.0,9.9,0.1524,31.7,0.0252785,109.949
630.0,4.0,0.3048,71.3,0.00497773,131.615
8000.0,..,0.1524,71.3,8895100.0,122.527
(ˢɻĀ,1.5,0.3048,71.3,0.00336729,126.632
1000.0,9.5,0.0254,55.5,0.0043284,130.332
800.0,12.7,,71.3,"""ǰűϤ̧ώΏ",130.34799999999998
8000.0,Z͂,0.1016,31.7,0.00251435,117.432
10000.0,0.0,0.1016,71.3,0.00121072,123.305
1600.0,0.0,0.2286,˿Ãȍ,00..221155,129.134
,15.6,0.1016,71.3,0.0437259,130.638
1000.0,,Afghanistan,39.6,0.00579636,128.72299999999998
2000.0,0.0,0.3048,39.6,0.00310138,123.689
20000.0,4.8,00002255,71.3,0.000848633,119.708
1250.0,4.8,0.0254,31.7,íĹˀĔRʯ,127.40799999999999
ö800.0,12.6,0.1524,39.6,0.058411300000000006,116.56
800.0,0,0.0508,71.3,0.0Ǹ0529514,127.556
2000.0,7.2,0.1524,<ƴČʺ,0.00752039,128.643
000000,2.0,0.2286,71.3,0.00293031,126.486
1100..,15.4,0.0508,71.3,0.0264269,130.845
315ħ0.0,1.5,0.3048,71.3,0.00336729,123.39200000000001
4000.0,12.7,0.0254,71.3,0.012180799999999999,131.808
1250.0,6.7,0.1016,31.7,0.00592927,129.256
400.0,12.7,0.0254,71.3,0.012180799999999999,125.04799999999999
1000.0,C˿Ơ,0.1016,55.5,?,131.129
1000.0,12.3,0.1016,39.6,0.0408268,122.435
6300.0,7.3,0.2286,39.6,0.0123481,110.839
4000.0,12.3,0.1016,"
͗ϒƙ",0.033779199999999995,118.01799999999999
800.0,0.0,0.3048,˺ǩɈ,0.00331266,129.235
250.0,7.3,0.2286,55.5,0.011170600000000001,136.384
630.0,1155..44,0.0508,3Ð9.6,0.0282593,127.443
630.0,4.0,0.2286,31.7,0.00509068,130.349
1000.0,17.4,0.0254,,0.016104,125.816
6300.0,0.0,0.2286,71.3,0.00214345,122.044
6300.0,3.0,0.3048,71.3,0.00425727,116.134
315.0,17.4,0.0254,71.3,0.016104,115.846
1250.0,6.7,0.1016,71.3,0.00478288,137.658
5000.0,9.5,0.0254,55.5,0.0043284,128.412
800.0,..,0.2286,55.5,0.011170600000000001,128.444
,2.0,0.2286,55.5,0.00313525,122.292
4000.0,11.2,0.0508,71.3,0.014072,122.471
10000.0,0.0,0.0254,31.7,0.000439472,134.227
00,3.0,0.3048,55.5,0.00452492,129.94899999999998
,12.6,0.1524,39.6,0.058411300000000006,115.89
>ϏąήĜ,0,0.0254,31.7,0.00461377,130.086
44000000,8.4,0.0508,55.5,0.00544854,122.61200000000001
2000.0,17.4,0.0254,71.3,0.016104,126.82600000000001
1600.0,12.3,0.1016,39.6,0.0408268,117.875
1600.0,2.7,0.1524,39.6,0.00294804,130.049
6300.0,1.5,0.3048,39.6,0.00392107,114.751
5000.0,0,0.1524,55.5,0.0208438,112.065
8000.0,0.0,0.1016,39.6,0.00146332,122.34100000000001
400.0,17.4,0.0254,31.7,0.017663099999999998,120.766
2000.0,5.4,0.1524,Afghanistan,0.00485029,124.647
5000.0,5.4,0.1524,55.5,00..0088,118.757
5000.0,7.3,0.2286,39.6,0.0123481,111.959
	ʹ˘ˎǺ,17.4,0.0254,39.6,0.0172206,117.514
500.0,11.2,0.0508,39.6,779999999988,131.96
12500.0,0,cɨϞȮȷt,39.6,0.00294804,108.649
8000.0,7.2,0.1524,71.3,0.00752039,113.333
400.0,5.3,0.2286,39.6,0.00614329,131.221
1000.0,12.3,Afghanistan,55.5,0.0368233,125.484
1000.0,15.4,0.0508,Afghanistan,0.0264269,131.865
315.0,12.3,0.1016,39.6,0.0408268,129.415
5000.0,0.0,0.1016,39.6,0.00146332,126.021
630.0,0.0,0.2286,31.7,0.0027238,129.465
1250.0,12.7,0.0254,71.3,0.012180799999999999,133.048
630.0,0.0,0.1524,31.7,0.00209405,125.99700000000001
,1.5,0.3048,39.6,?,127.581
1600.0,4.71,0.0254,39.6,0.0172206,127.61399999999999
2500.0,2.0,0.2286,71.3,,127.006
630.0,6.7,0.1016,71.3,0.00478288,131.44799999999998
2000.0,Y͕γ,0.2286,39.6,0.00346574,122.79700000000001
6300.0,0.0,0.0508,71.3,0.000740478,133.04
2500.0,5.4,0.1524,55.5,0.00433288,124.07700000000001
1250.0,4.0,0.2286,39.6,0.00473801,128.339
250.0,19.7,0.0508,39.Ð6,0.036483999999999996,127.22399999999999
16000.0,0.0,0.3048,71.3,0.00266337,108.721
630.0,11.2,0.0508,71.3,,133.611
1600.0,22.2,0.0254,39.6,0.022902799999999997,122.21600000000001
630.0,15.4,0.0508,71.3,0.0264269,129.645
5000.0,0.0,0.2286,55.5,0.00229336,122.41
1600.0,6.7,0.1016,55.5,0.0052139,133.653
6300.0,0.0,0.2286,55.5,0.00229336,118.41
20000.0,0.0,0.0254,55.5,0.00041229,121.93299999999999
2500.0,22.2,0.0254,71.3,0.0214178,126.09700000000001
*πʃȹÇ,6.7,0.1016,31.7,0.00592927,130.20600000000002
4000.0,19.7,0.0508,6.93,0.036483999999999996,108.684
8000.0,4.0,0.2286,Afghanistan,0.0042861999999999996,112.524
2000.0,0.0,0.0508,39.6,0.000791822,132.918
2000.0,,0.0508,55.5,0.0271925,127.04
1000.0,0.0,2288,55.5,0.00229336,128.29
2000.0,0.0,0.2286,31.7,0.0027238,123.455
1600.0,9.5,0.0254,71.3,0.00420654,133.756
4000.0,,0.2286,55.5,0.011170600000000001,117.28399999999999
2000.0,0,0.0508,71.3,0.00529514,134.476
6300.0,0.0,0.1016,31.7,0.00150092,124.25299999999999
400.0,12.3,0.1016,39.6,0.0408268,128.265
2000.0,4.0,Afghanistan,71.3,0.00400603,126.21799999999999
250.0,,0.0508,39.6,0.015047799999999998,126.43
2000.0,4.0,0.2286,55.5,0.0042861999999999996,124.25399999999999
500.0,7.2,0.1524,39.6,0.00909175,132.658
1600.0,,0.0508,39.6,0.015047799999999998,126.54
Some college,15.6,0.1016,71.3,0.0437259,116.46799999999999
500.0,9.9,0.1524,39.6,0000223388,126.835
Some college,8.4,0.0508,71.3,0.00529514,121.146
500.0,9.5,0.0254,55.5,0.0043284,123.08200000000001
2000.0,4.0,0.3048,71.3,0.00497773,124.395
Some college,:ȼΖ,0.1016,39.6,0.00578076,122.235
10000.0,4.2,,71.3,?,121.238
4000.0,4.0,0.3048,39.6,0.00579636,115.863
?ǸSẓ̌Ϙ,5.4,0.1524,31.7,0.00525474,116.181
8000.0,0.0,0.0254,31.7,0.000439472,137.207
2000.0,,0.1016,39.6,0.00245138,132.30100000000002
2000.0,7.3,0İ.2286,55.5,0.011170600000000001,120.354
8000.0,0.0,0.1524,55.5,0.00172668,121.90299999999999
500.0,19.7,0.0508,71.3,0.034118300000000004,126.995
3150.0,0.0,0.0254,39.6,°ϐŹ˩;Ə,133.276
2000.0,9.9,0.1524,55.5,0.0208438,119.505
2500.0,4.0,0.3048,71.3,0.00497773,123.775
0.0036,0.0,0.1016,71.3,0.00121072,129.395
800.0,7.3,0.2286,39.6,0.0123481,126.29899999999999
800.0,0.0,0.3048,55.5,0.00283081,128.086
4000.0,0,0.0508,71.3,0000226622,122.675
6300.0,4.2,0.ī0508,39.6,0.00152689,125.71700000000001
6300.0,0.0,0.0508,55.5,0.00076193,132.796
800.0,..33,0.1016,5.55,0.002211,129.119
315.0,2.0,0.2286,31.7,0.00372371,120.147
3150.0,0.0,0.0508,39.6,0.000791822,135.938
800.0,19.7,0.0508,71.3,0.034118300000000004,124.555
800.0,15.6,0.1016,71.3,,124.18799999999999
200.0,,0.1016,39.6,0.012459600000000001,133.42
2000.0,8.9,0.1016,71.3,0.0103088,124.23299999999999
ȟˎɴaǼ,39.6,0.022902799999999997,116.066,,
1250.0,6.7,0.1016,39.6,0.00578076,132.395
200.0,7.3,0.2286,55.5,0.011170600000000001,135.234
10000.0,0.0,0.1016,31.7,0.00150092,115.89299999999999
1000.0,,0.2286,39.6,0.0123481,122.539
2500.0,15.6,0.1016,77..,0.0437259,118.99799999999999
1000.0,0.0,0.1524,71.3,0.0015988,127.307
Some college,15.4,0.0508,31.7,0.028985300000000002,120.835
4000.0,15.4,0055,55.5,0.0271925,120.92
5000.0,3.3,0.1016,39.6,0.00245138,122.37100000000001
1600.0,6.7,0.1016,31.7,0.00592927,124.346
2500.0,15.4,0.0508,39.6,0.0282593,122.413
630.0,5.4,0.1524,39.6,?,132.357
5000.0,12.3,0.1016,71.3,0.033779199999999995,116.10799999999999
400.0,8.4,Afghanistan,39.6,ɥˋ͏͈R¯,120.015
6300.0,3.3,0.1016,31.7,0.00251435,120.70200000000001
5000.0,0.0,0.2286,39.6,0.00253511,122.175
250.0,5.3,Afghanistan,39.6,0.00614329,127.01100000000001
1250.0,17.4,ō̵9ôĸ,71.3,0.016104,126.35600000000001
250.0,15.4,0.0508,71.3,0.0264269,124.835
ȜȢƚà͸,8.4,0.0508,71.3,0.00529514,132.086
2500.0,4.0,0.2286,55.5,0.0042861999999999996,122.384
315.0,5.4,0.1524,31.7,0.00525474,125.741
4000.0,99..99,0.1524,31.7,0.0252785,111.459
2500.0,11.2,0.0508,39.6,0.015047799999999998,122.17
2000.0,3.3,0.1016,31.7,0.00251435,131.642
800.0,1.5,0.3048,39.6,0.00392107,128.83100000000002
,22.2,0.0254,771133,0.0214178,115.85700000000001
250.0,8.9,˙˭öĹJ,39.6,?,134.34
4000.0,3.0,0.3048,É71.3,0.00425727,120.264
1600.0,9.9,0.1524,39.6,0.0233328,118.545
,6.7,0.1016,55.5,0.0052139,136.88299999999998
