AT,V,AP,RH,PE
14.41,40.83,1009.82,80.43,470.13
12.51,41.92,33..11,64.66,468.41
24.95,64.33,1011.34,81.05,440.97
27.35,66.05,1017.62,55.26,439.6
9.25,41.26,1020.51,91.21,473.87
6.9,44.71,1019.7,71.21,486.3
22.01,58.46,1016.26,75.99,443.75
14.22,44.99,1012.0,75.28,460.53
9.63,41.14,1027.99,87.89,469.73
10.34,41.74,1020.07,79.17,480.84
13.79,45.08,1025.02,84.36,469.55
12.38,48.04,1012.78,100.13,465.99
18.2,52.72,1025.87,54.26,463.47
33..11,71.8,1010.81,56.08,437.2
30.04,67.25,1017.65,52.84,435.17
16.97,50.9,1012.31,,463.28
24.01,65.46,1014.17,43.02,443.81
9.0,43.13,000055,81.32,481.09
12.53,42.03,1017.57,81.57,469.18
21.61,64.63,1020.86,69.73,451.02
25.14,69.13,1011.15,85.67,433.95
11.22,41.93,1023.13,69.35,480.71
23.96,65.34,1015.52,56.82,449.23
13.86,50.59,1019.2,97.22,467.23
14.48,44.06,1018.73,75.88,467.46
23.61,43.77,1011.81,56.08,444.55
21.44,51.19,1009.1,84.94,446.17
8.42,40.64,1022.35,96.38,476.29
21.28,70.32,1011.55,8ă8.05,438.7
20.78,60.84,1018.66,80.4,445.82
21.04,69.48,1011.07,89.92,439.53
,67.69,1005.06,46.16,426.64
29.1,50.05,1005.87,11..5533,438.66
18.34,65.94,1013.27,,451.29
24.35,58.49,,70.64,445.6
21.69,47.45,1007.56,77.2,447.06
13.5,44.92,1023.87,87.17,468.85
8.73,39.42,1025.63,69.87,474.44
ōÖʗɟ,74.67,1015.94,28.16,427.98
18.44,45.38,1014.3,86.02,461.99
32.16,66.25,1008.17,56.88,434.5
5.25,42.85,1013.75,89.67,477.78
9.53,40.23,1017.74,89.05,484.0
25.2,59.21,1017.54,55.53,444.16
19.ý32,52.9,1016.86,68.2,457.66
19.4,49.69,1012.89,75.53,455.6
25.81,66.51,1016.53,62.19,437.57
22.2,44.05,1007.34,75.13,445.32
29.23,72.99,1007.04,63.47,431.0
32.66,73.68,1014.64,40.88,425.17
12.35,40.8,1027.35,72.69,476.88
18.94,48.7,1008.5,94.83,451.38
13.74,39.35,1014.82,77.48,471.11
21.81,43.77,1011.97,64.72,453.13
9.6,41.03,1021.01,69.03,481.73
15.15,41.35,1006.3,86.16,468.64
24.31,58.62,1017.29,64.44,449.12
32.19,69.13,1000.45,48.22,425.21
10.75,45.01,1018.73,93.16,471.47
7.61,39.37,1015.84,N/A,483.74
22.77,70.32,1012.04,82.43,440.67
20.07,49.21,1012.34,56.8,454.25
,71.14,1010.65,60.38,429.21
19.82,46.63,1013.17,87.1,456.36
29.01,70.04,1010.02,57.35,430.26
15.39,42.28,1007.35,81.35,467.3
27.75,77.24,1007.48,78.37,433.57
14.28,39.39,1013.82,77.52,469.92
11.87,40.67,N/A,62.92,479.18
24.24,72.43,1008.02,86.4,436.6
30.36,74.87,1008.96,61.87,435.31
28.82,71.43,1011.51,58.58,443.68
25.01,59.54,N/A,80.93,441.3
25.64,68.08,1011.06,71.06,431.77
13.11,41.44,1015.55,74.45,471.61
21.74,60.27,1015.82,88.96,441.22
25.15,66.49,1012.71,cʬŅΏɰ,436.0
20.54,49.15,1021.02,56.0,458.6
2244..,68.61,1010.56,64.03,447.57
28.37,63.31,1013.18,49.02,437.64
19.4,39.53,1007.96,63.38,457.17
27.0,69.34,1008.88,74.4,439.26
22.5,59.54,1007.99,93.63,445.22
9.7,37.14,1012.79,75.2,475.77
18.18,61.87,1008.64,66.28,453.1
20.25,44.78,1007.93,40.16,462.44
10.72,41.17,1019.68,60.71,479.21
21.8,65.94,1012.02,63.52,448.66
21.23,68.08,1012.82,74.57,445.41
30.3,69.51,1011.8,50.43,431.12
18.5,47.45,,83.21,450.22
23.09,73.5,1ĥ011.4,89.76,438.56
26.21,65.12,N/A,44.31,444.44
17.34,44.06,1015.84,ĉ74.88,458.5
14.02,44.85,1016.54,75.73,469.53
23.19,67.07,1005.67,,442.45
8.53,38.18,1017.54,N/A,480.86
19.02,44.85,1014.57,43.37,465.42
22.66,68.3,1017.73,86.92,431.27
12.65,44.34,1014.74,92.81,473.46
14.43,43.5,1021.86,83.14,466.58
22.88,50.23,1016.11,63.77,458.08
16.64,48.92,1011.55,78.76,452.56
23.47,59.22,1013.44,83.33,442.13
24.94,74.33,1014.3,75.34,435.21
11,40.22,1010.31,78.08,476.46
25.17,72.39,1001.69,90.51,432.45
27.38,70.04,1011.18,72.26,428.88
27.94,49.16,1004.22,35.46,436.75
8.18,40.02,1031.45,73.66,478.81
12.24,34.03,1018.44,69.27,474.18
26.48,66.54,1011.61,51.9,438.87
18.87,62.96,1020.55,82.87,455.22
9.48,44.68,1023.29,92.9,478.66
8.34,40.96,1023.28,89.45,483.92
26.71,66.25,N/A,79.28,435.41
17.23,41.1,1002.45,68.88,464.18
9.62,41.01,1019.43,97.99,467.34
20.08,&Ό˖+˹,1017.99,75.74,450.98
25.56,60.32,1016.28,59.84,445.01
30.93,73.42,1010.98,56.42,432.44
14.17,,1014.94,48.62,471.08
23.55,73.18,1011.85,87.97,437.88
10.95,39.22,1015.69,62.3,474.07
26.96,65.34,1015.05,46.93,441.81
24.92,48.92,1010.11,36.53,445.56
7.49,39.81,1019.03,87.29,483.59
23.62,73.67,1007.0,90.8,438.33
15.52,41.93,1022.97,52.92,471.97
22.58,59.14,1017.2,80.91,439.78
26.36,,1013.99,6644,430.39
20.19,44.57,1009.2,72.13,454.36
31.1,71.32,1008.09,45.87,437.54
18.12,43.69,1016.91,52.95,464.68
8.31,40.46,1020.07,78.18,476.72
25.07,N/A,1012.87,33..00,438.55
9.45,41.92,1029.32,91.09,467.79
17.49,40.55,1001.73,73.15,462.37
9.24,41.4,1018.34,84.91,477.65
5.41,45.87,1008.47,97.51,479.48
32.07,67.83,1007.91,41.61,429.31
15.03,43.71,1025.07,83.25,463.12
13.13,50.59,1020.26,87.44,470.03
13.51,44.9,1019.29,77.24,464.86
26.08,76.86,1003.3,79.49,436.85
22.1,68.63,1015.19,59.05,449.54
26.01,58.41,1013.56,70.84,443.74
32.98,73.88,1006.31,47.55,440.28
22.78,58.96,1013.65,57.06,452.03
12.34,40.1,1015.77,92.26,470.92
14.44,40.8,1025.05,9́ɿƴƴ,472.95
24.04,60.77,1017.62,75.23,442.25
18.61,44.06,1016.91,75.01,452.68
5.82,40.78,1024.82,96.01,470.02
29.11,74.9,1003.31,74.01,432.43
17.88,45.87,1008.39,93.63,455.83
7.1,41.74,1022.25,91.07,484.12
24.01,65.18,1012.57,76.02,437.27
15.62,41.76,1023.82,66.17,459.72
13.61,40.71,1022.36,72.87,475.23
28.11,77.95,1009.38,72.81,432.98
26.99,62.26,1011.13,71.27,436.89
9.26,44.68,1023.22,91.44,478.82
7.19,41.39,1018.12,90.76,486.35
9.51,40.81,1015.69,82.52,475.29
17.14,58.16,1018.59,77.22,458.61
21.96,51.43,1007.28,89.96,442.87
19.75,54.2,1011.43,83.5,448.89
20.28,63.86,1016.04,74.66,447.26
26.73,68.84,1010.75,66.83,440.45
13.49,44.47,1030.18,69.15,468.46
8.62,39.66,1015.18,89.59,482.99
32.86,66.44,1010.98,44.99,429.32
26.73,49.02,1007.75,67.73,438.17
4.15,39.9,,96.68,491.22
30.72,69.13,1009.94,61.66,435.83
12.41,45Ć.87,1004.78,80.02,468.14
21.62,58.59,1012.93,67.05,445.92
6.75,39.4,1011.28,90.84,483.77
23.81,73.17,N/A,86.13,438.11
20.0,39.53,1007.59,62.09,456.28
15.43,38.58,1016.58,,463.44
22.06,64.15,1021.07,68.66,451.44
16.79,44.6,1014.27,48.08,459.48
13.6,42.86,1013.37,87.52,472.27
20.78,68.28,1008.75,60.87,450.57
19.53,50.32,1009.71,94.46,449.59
27.47,66.86,1006.1,70.2,437.45
26.17,48.92,1009.87,34.43,440.09
27.5,49.3,1004.02,˧ŭ,439.77
13.91,39.35,1014.69,75.51,469.02
27.88,68.94,1007.68,75.68,435.04
13.11,42.99,000066,97.0,472.84
6.22,39.85,1012.05,86.88,443.73
11.52,40.8,1024.31,73.49,479.56
13.24,39.85,N/A,59.99,477.22
25.04,63.86,1018.92,52.79,441.6
21.24,44.3,1014.34,83.39,444.0
13.81,40.2,1013.66,88.16,464.23
11.7,25.36,1008.65,99..11,470.88
26.36,:ɏȓ],1015.35,66.87,451.81
6.39,35.57,1025.53,77.23,487.69
28.37,72.86,Ȱȏ͞ʻͬš,53.52,441.37
18.41,44.89,1009.75,N/A,448.88
11.98,39.35,1014.97,98.05,472.43
24.18,58.49,1011.3,77.82,445.49
21.53,52.84,1005.06,88.22,444.04
28.82,77.24,1008.35,78.93,433.69
23.13,71.25,1002.49,94.59,431.91
12.02,39.69,1006.05,84.66,470.17
21.7,70.32,1009.12,91.3,438.52
18.33,49.64,1025.36,62.57,468.14
25.85,75.08,1006.24,57.73,444.63
33.97,72.29,1008.98,44.32,432.33
22.72,50.05,1007.0,88.24,444.43
18.87,52.08,1005.25,99.19,449.61
26.55,69.45,1013.92,52.22,434.55
yĳϤē=,46.93,1014.15,49.42,451.41
13.41,Lìγοć,1015.1,79.32,471.85
19.62,52.05,1012.09,50.02,456.81
29.18,68.24,1010.04,68.04,428.52
27.87,70.79,1003.96,72.17,428.41
13.72,45.01,1014.07,77.0,464.59
16.23,43.52,1020.13,76.3,464.74
13.92,43.41,1015.12,61.64,464.76
27.59,50.05,1005.71,57.03,437.98
23.35,63.47,1011.78,84.24,437.87
22.98,51.95,1006.83,74.92,454.63
27.73,67.69,1007.47,59.42,431.72
26.18,69.84,1005.13,72.89,431.69
26.5,66.05,1017.03,61.34,440.15
27.31,65.12,1016.05,45.98,440.06
22.79,71.77,1005.75,90.91,435.53
11.02,44.58,1016.4,83.57,481.85
18.13,39.72,1002.75,58.85,455.81
17.04,,1011.81,83.14,458.1
18.2,39.63,1005.35,79.05,468.49
12.93,38.73,1006.41,89.24,471.3
15.62,40.12,1013.03,96.26,462.59
27.83,59.57,1011.22,71.05,443.85
24.13,48.98,1014.74,40.13,460.38
14.7ă9,41.04,1025.32,75.81,456.97
15.11,42.99,1007.53,85.75,466.25
17.46,62.1,1019.96,83.99,451.06
25.03,57.5,1014.96,62.23,449.48
15.01,39.52,1017.53,72.0,468.02
18.04,44.85,1015.13,48.4,463.31
29.25,69.98,1010.74,57.42,430.45
13.86,41.58,1020.69,70.74,461.56
23.61,59.39,1015.11,78.84,438.08
26.02,63.07,1010.94,53.96,446.82
15.75,39.16,1016.31,77.99,468.87
16.36,39.99,1008.91,72.48,462.5
7.41,40.71,1023.07,83.32,474.25
30.14,67.69,1006.54,57.05,426.91
24.59,60.37,1005.31,76.81,438.09
10.32,42.02,998.27,99.12,472.16
13.66,40.55,1005.46,96.02,467.7
23.75,99..77,1007.73,88.82,443.54
15.85,49.69,1015.48,88.65,464.72
25.96,63.77,1013.24,65.43,445.26
24.67,,1011.31,69.95,444.57
30.98,67.45,1015.18,45.4,433.59
16.37,36.99,1006.37,90.11,463.76
N/A,49.16,1006.04,64.54,445.18
19.95,57.25,1011.08,88.04,453.03
13.74,34.03,1018.69,67.34,470.49
31.11,69.05,ġƔǛˏǘ,41.56,433.19
10.79,43.56,1015.15,73.01,479.64
24.39,58.41,1013.65,80.93,445.39
21.86,58.4Ĉ9,1010.88,76.79,449.9
31.52,76.2,1008.31,57.35,435.31
14.12,42.99,1007.13,78.16,468.45
12.45,40.81,1025.63,66.26,474.73
28.18,71.85,1008.78,82.88,427.83
19.67,60.77,1017.33,88.13,444.87
18.27,50.16,1011.07,95.91,451.76
26.97,67.32,1014.35,55.07,439.61
OɐǛ,39.66,1015.16,86.61,483.54
11.58,41.74,1020.41,74.09,478.06
14.51,53.82,1016.46,62.75,463.17
32.31,68.94,1006.11,71.78,431.14
37.11,68.94,1006.23,31.15,429.25
15.67,,1015.76,66.29,463.17
29.1,77.95,1010.01,71.48,431.28
16.0,43.34,1013.58,78.87,461.7
26.63,64.44,1012.66,61.19,442.0
11.84,39.28,1016.97,90.52,477.51
31.95,70.79,1003.8,55.25,426.37
11.73,40.64,1020.68,96.98,477.06
18.58,64.45,1009.68,67.57,444.28
26.47,69.51,1009.51,65.02,433.89
24.9,71.77,1006.24,85.25,427.77
25.73,66.54,1010.07,55.97,437.07
11.52,40.03,1017.56,87.87,472.31
19.51,48.78,1021.03,86.33,453.27
8.09,38.5,1012.99,67.31,484.81
21.04,74.87,1009.09,88.25,443.44
16.44,44.0,1024.48,76.51,460.33
21.71,76.86,1006.71,76.86,438.41
20.55,68.63,1012.5,67.07,453.47
9.59,38.56,1017.52,,481.05
23.01,44.05,11006666,74.95,450.67
12.24,41.62,1013.38,90.26,461.23
12.14,40.83,1010.56,78.31,474.82
11.46,39.3,1019.53,76.86,475.51
88..7722,40.02,1031.32,78.09,477.86
11.93,41.38,1021.76,57.63,473.88
21.45,66.05,1014.81,73.73,453.38
17.9,52.08,1006.41,100.09,451.94
13.04,40.69,1015.96,82.37,473.49
30.02,73.5,1010.52,44.91,429.84
10.31,38.18,1018.02,70.1,476.31
23.83,49.21,1012.93,46.79,446.23
ý24.27,60.37,1005.13,77.16,437.78
25.54,61.08,1013.77,69.64,448.57
10.26,39.13,1010.94,87.78,474.16
25.25,58.46,1015.54,70.76,444.05
30.55,70.04,	ǝÀȮƂ˘ʟ,49.37,429.56
20ø.08,54.42,1011.79,89.35,457.14
20.79,68.28,1001.42,76.77,445.83
14.7,48.6,1006.91,85.65,460.63
15.56,40.12,1013.72,89.78,461.21
10.86,44.85,1014.15,88.36,476.87
14.74,43.71,1024.35,81.53,465.49
22.21,61.5,1008.34,76.22,445.77
29.45,69.13,1009.3,52.97,432.04
24.43,72.43,1008.03,85.56,434.71
12.05,48.04,1009.14,100.13,464.14
14.87,41.23,997.39,82.06,465.01
20.29,63.09,1019.03,76.07,448.22
26.94,59.87,N/A,58.34,448.6
27.4,69.13,1001.4,82.47,426.18
6.06,41.17,1019.67,84.7,489.62
28.81,69.23,1013.14,39.18,433.74
31.2,68.24,1005.71,34.84,428.67
7.69,43.02,1014.51,85.23,486.46
10.48,41.38,1021.97,65.22,481.41
32.83,74.33,1011.44,50.42,427.36
14.88,41.66,1009.4,67.15,468.55
19.8,51.19,1008.25,91.98,446.66
23.74,62.96,1019.65,N/A,449.48
14.73,40.35,1011.15,65.2,470.03
31.98,70.17,999.43,59.42,430.92
10.3,41.79,1021.09,49.39,471.58
19.65,63.91,1009.26,99.08,444.9
7.05,43.65,1018.41,72.36,480.47
7.06,41.38,1021.94,83.55,487.71
7.64,42.28,1008.49,83.42,483.74
7.95,37.49,1009.32,80.8,479.78
13.63,43.22,1012.71,72.85,464.62
24.45,65.12,1015.92,57.19,445.01
22.8,69.23,1011.8,76.95,439.3
19.05,67.32,1013.2,83.14,447.47
N/A,75.6,1017.63,51.16,439.14
15.29,38.73,1000.9,81.17,468.62
11.82,41.17,1019.5,2ϔǳ~Ǟ,475.61
15.82,43.34,1014.52,79.07,460.4
31.94,69.98,1013.32,56.17,432.03
13.4,41.78,1010.2,64.57,466.68
27.15,73.9,1007.57,74.42,433.09
25.86,61.08,1013.51,67.5,449.67
23.49,47.45,1008.46,66.18,446.72
17.17,44.68,1018.72,83.58,462.53
26.03,64.44,1012.75,N/A,445.89
2.34,39.42,1028.47,69.68,490.34
23.05,58.86,1013.84,62.21,445.46
21.85,69.94,1010.89,79.4,443.0
7.0,35.77,1018.21,64.84,482.8
25.2,65.59,1013.0,71.34,439.14
9.98,41.01,1017.83,98.07,466.05
9.38,41.44,1015.09,86.8,481.96
24.22,49.82,1014.61,66.82,452.2
23.92,66.54,1009.93,62.37,441.9
21.11,69.94,1004.37,84.26,439.91
8.99,36.3,1027.08,73.98,478.95
31.67,69.89,1013.88,39.33,426.35
23.86,59.21,1013.02,73.6,441.22
15.01,43.56,1014.65,61.82,465.84
15.25,46.36,1019.69,,461.68
13.93,40.2,1013.41,89.86,466.47
28.31,74.33,1011.89,69.77,428.46
23.58,70.04,1010.95,76.32,435.47
10.15,41.14,1025.5,91.54,473.56
19.47,43.43,1011.66,69.93,451.38
23.02,69.94,1007.94,64.66,439.4
16.68,43.14,1018.39,76.48,459.83
12.52,40.24,1020.45,97.41,470.56
7.61,43.22,1014.8,86.92,478.55
18.63,50.16,1010.21,97.13,450.14
12.11,41.17,1019.46,62.59,475.53
14.23,46.18,93.7101,87.29,463.86
20.39,64.15,1021.31,62.35,457.37
9.28,41.38,1021.96,72.22,486.18
16.98,43.7,1015.07,53.51,464.01
19.35,39.72,1002.5,51.24,455.29
12.72,40.71,1016.02,71.57,466.99
33.74,69.98,1012.51,..,425.35
24.43,47.45,1007.68,65.18,446.45
22.34,63.73,1014.37,83.19,444.39
N/A,62.26,1011.37,89.69,443.58
25.71,66.05,1018.58,66.23,444.35
7.33,40.0,1018.96,80.76,478.16
24.28,71.98,1006.34,9Ā0.45,432.47
22.31,61.45,1009.25,98.56,437.05
19.27,50.9,1011.72,83.14,455.09
14.03,49.15,1020.5,83.65,467.16
29.3,67.69,1007.17,55.5,430.72
25.78,47.93,1003.67,67.23,442.46
30.26,76.2,000044,62.1,435.04
12.08,40.24,1016.63,92.32,474.07
30.12,73.18,1012.29,61.32,429.31
8.64,41.66,1014.14,80.44,481.89
18.74,44.34,1019.4,55.16,468.84
11.54,40.05,1014.78,87.05,474.29
22.19,60.37,1008.45,N/A,440.75
6.89,43.65,1019.87,72.77,484.0
5555,41.26,1007.77,99.1,473.6
10.11,39.72,1019.1,69.68,476.8
27.69,69.71,1009.9,69.91,440.43
10.48,40.0,1021.35,88.52,478.86
11.3,25.36,1008.66,96.18,471.19
5.7,40.35,1012.18,91.57,488.8
22.62,51.3,1012.36,81.02,448.27
9.37,40.11,1024.94,75.03,471.13
28.41,75.6,1188..4488,56.07,440.28
15.79,49.15,1020.62,76.22,465.62
20.34,59.8,1015.18,80.21,453.54
29.82,66.51,1010.98,43.57,439.17
25.42,73.21,1001.91,93.78,432.04
9.66,41.06,1021.21,84.7,482.2
7.29,441144,1024.06,89.19,474.71
31.44,64.44,1014.04,49.15,437.6
17.14,41.66,1010.97,57.66,463.38
34.14,74.34,1000.19,43.56,434.23
12.58,43.67,1014.36,91.72,473.02
9.Ñ19,42.44,1014.38,94.24,481.55
16.17,41.79,1005.78,78.8,454.72
8.57,40.23,1017.53,90.46,484.17
23.99,45.87,1007.63,52.62,443.66
10.27,38.38,1022.16,70.77,475.58
28.85,71.32,1009.09,76.9,435.13
3.99,39.64,1011.53,83.58,492.06
17.Ā19,58.86,1016.74,85.97,451.87
24.14,59.87,1018.47,57.76,444.04
12.67,41.16,1016.92,92.8,462.35
31.74,79.74,1007.07,61.47,431.72
21.3,48.92,1010.92,65.09,447.89
26.75,60.96,1012.05,56.77,447.93
12.32,41.26,1022.42,79.74,470.27
25.87,57.32,1012.06,44.13,442.87
N/A,,1008.63,84.11,448.98
18.42,63.94,1020.47,74.47,450.55
35.2,33..,1006.56,45.72,434.37
29.63,69.71,100Ŝ9.04,67.26,435.27
14.17,39.59,1010.99,94.08,464.17
28.25,66.54,1011.02,43.77,439.67
11.28,40.55,1006.23,97.78,475.14
24.32,71.14,1011.71,71.65,435.34
27.27,72.24,1010.69,78.09,432.35
23.64,58.49,1011.4,74.2,445.75
26.49,61.86,1012.55,74.24,440.21
13.46,,1012.76,72.94,472.5
30.8,69.14,1007.68,63.78,433.62
14.64,44.92,1025.54,91.12,462.64
22.07,70.72,1010.52,82.96,442.88
24.82,72.99,1007.81,84.72,435.68
13.99,,1023.83,77.92,472.55
18.4,40.79,1006.18,92.36,461.29
10.4,45.01,1018.58,93.48,470.79
14.14,43.34,1017.1,81.77,464.36
26.94,66.48,1005.46,60.62,440.12
13.78,45.51,1015.56,69.92,468.17
16.19,36.99,1007.37,92.4,462.94
9.78,33,1022.25,69.64,477.22
10.02,42.44,1014.57,99.16,478.5
10.15,41.62,̣ǋšŗϧ,97.4,463.89
27.78,60.07,1014.66,53.74,439.43
22.97,62.4,1010.25,75.18,445.3
18.9,62.96,1020.69,80.57,455.88
15.03,42.44,1014.25,94.52,464.91
14.78,N/A,1016.96,68.53,463.75
15.14,37.85,1010.33,84.3,468.31
8.87,41.82,1033.3,74.28,477.97
22.3,67.25,1017.33,75.85,453.27
12.65,41.93,1023.07,65.05,479.53
21.12,62.52,1015.62,78.98,450.93
20.95,70.72,1009.96,87.73,445.66
30.51,59.57,1011.08,61.94,436.92
11.77,40.92,1021.85,81.55,467.31
24.6,57.85,1012.92,69.56,447.09
6Ï.92,43.13,1018.26,89.23,486.36
27.04,48.41,1008.57,60.73,441.21
12.53,43.56,1014.8,74.05,469.23
26.19,65.61,1014.51,54.52,443.73
11.91,41.49,1019.69,96.39,470.07
26.2,60.07,1014.75,59.41,440.89
28.15,72.24,1010.88,62.39,431.75
4.97,40.64,1020.91,94.28,485.43
ñ10.02,52.75,1021.93,73.68,473.09
12.84,40.8,1026.95,69.86,475.59
32.35,77.95,1014.76,60.88,432.72
31.16,67.45,1014.69,32.25,428.35
26.59,59.92,1009.97,70.09,438.22
8.73,41.92,1029.41,89.72,480.99
21.95,59.43,1010.29,74.67,442.84
22.03,64.69,1007.21,75.75,440.92
13.24,39.16,1016.52,86.66,474.48
N/A,41.2,1016.81,81.22,474.96
7.36,40.07,1017.29,52.55,489.45
15.5,44.92,1024.16,86.44,462.12
15.25,39.58,1012.1,73.05,466.21
23.48,72.99,1009.61,88.16,437.1
26.31,68.51,1013.26,68.66,435.91
,41.2,1015.96,81.97,469.85
ŷνŘͽ,66..0066,,73.47,446.64
31.07,70.98,1007.24,72.03,432.96
27.01,52.3,1007.78,N/A,439.51
13.69,41.74,1021.19,60.86,471.84
10.38,40.92,1021.53,95.18,466.46
23.68,49.02,1007.53,86.05,440.68
29.04,60.07,1015.42,46.15,440.43
13.52,41.44,1015.81,65.97,472.11
6.63,39.42,1024.81,72.58,482.02
11.95,41.58,1015.83,89.35,464.57
28.43,68.08,1011.32,58.19,433.05
31.92,68.3,1015.58,N/A,430.07
18.87,55..00,1012.02,53.46,458.64
14.51,44.84,1023.23,,465.09
5.62,41.31,1001.37,89.16,485.6
21.71,60.77,1017.95,85.07,444.59
5.49,40.81,1014.43,90.41,487.36
ă15.78,43.99,,83.7,461.07
20.35,67.45,1015.14,69.22,447.64
21.36,59.54,1007.99,92.62,446.09
18.31,42.23,1012.88,79.32,464.45
21.29,59.04,1012.49,84.23,445.37
15.14,44.21,1019.97,83.86,463.1
9.44,40.0,1015.62,N/A,471.32
20.78,62.52,1017.58,73.3,452.3
16.48,41.35,,89.07,465.64
12.95,41.23,993.74,96.35,469.05
24.39,51.86,1014.92,59.98,447.7
13.33,40.64,1020.92,91.47,474.07
27.14,63.13,1013.38,75.68,438.82
23.24,45.01,1012.21,45.23,457.01
5.85,41.55,1001.95,99.41,484.47
26.09,49.3,1003.79,66.19,439.82
7.2,40.02,1031.71,98.96,480.53
22.02,69.45,1013.84,Pǫϐȣ,440.26
10.05,40.71,1015.51,84.21,471.68
14.28,43.02,,N/A,467.83
31.01,74.16,1010.89,56.52,434.64
16.7,46.18,NĽĬȢΪƦ,96.15,455.93
30.24,67.32,1014.07,46.53,437.18
24.31,65.94,1011.5,61.61,442.69
11.36,40.75,1016.34,85.19,477.5
10.28,39.61,1020.43,69.09,478.34
27.82,79.74,1008.37,69.46,436.48
26.52,43.77,1011.49,46.98,440.31
18.9,47.83,1005.31,77.79,455.94
12.66,N/A,1012.49,95.96,472.44
25.0,59.43,1007.84,68.91,438.28
28.71,51.43,1006.4,64.79,440.17
6.25,39.48,`ĠŽķ,52.71,484.26
8.51,34.69,1026.96,75.34,481.83
27.52,74.67,1015.77,72.01,433.56
9.27,36.3,1026.93,72.13,479.66
14.5,41.76,1023.94,84Ā.42,464.23
9.84,40.72,1022.21,77.79,477.52
23.72,58.62,1016.65,69.1,447.49
11.02,41.26,1020.69,92.13,471.93
8.57,39.69,1000.91,99.9,474.29
26.96,69.45,1013.89,51.47,436.69
6.57,43.65,1018.24,74.47,481.46
17.01,50.9,1013.23,82.03,460.14
19.8,67.71,1005.58,69.65,446.03
5.15,35.19,1018.63,93.94,488.42
17.35,52.72,1026.31,58.01,463.65
20.69,50.78,1008.71,91.95,447.58
18.89,66.86,1012.38,71.96,454.02
28.22,51.43,1006.06,63.72,438.43
..66,38.58,1016.04,mºĀǬ,462.54
27.71,75.23,1010.21,59.75,440.7
5.89,40.07,1018.99,63.13,493.9
21.46,51.61,1010.91,76.41,457.28
30.58,65.18,1011.61,37.43,437.17
14.27,41.48,1014.83,62.7,458.19
27.82,52.84,1006.23,52.18,440.31
26.03,69.68,1011.61,60.75,449.54
31.68,74.16,1011.3,55.94,434.61
27.82,59.15,1012.74,42.78,442.0
26.35,64.05,1009.81,81.24,433.63
12.85,41.14,1027.04,86.29,464.86
,41.4,1027.64,86.22,473.94
21.12,63.91,1009.33,96.14,447.64
24.67,61.5,1009.06,72.77,437.37
17.31,58.49,,92.77,456.84
12.51,43.67,1013.24,91.55,471.96
24.84,56.89,1012.15,67.24,440.36
18.56,67.71,N/A,85.28,444.9
10.23,41.46,1018.89,83.06,479.48
5.48,40.07,1019.63,65.62,495.76
10.87,42.02,1002.08,95.22,472.63
19.61,56.53,ʮΪƸǉðɁ,77.13,454.22
9.27,38.56,1017.69,62.49,475.42
25.87,59.43,1008.34,65.83,440.26
13.15,42.44,1014.51,99.53,469.34
16.78,37.2,1011.97,68.94,471.24
29.95,73.42,1011.44,66.32,432.81
12.59,39.18,1024.18,67.57,471.32
22.89,48.98,1014.55,48.21,448.56
10.35,N/A,1013.33,94.78,477.14
18.49,41.1,1001.9,59.99,460.76
